stream_name,detector_rule,window_size,step_size,step_fraction,bins,binning,reference_mode,calibrated_threshold_used,drift_detected,first_detection_window,detection_delay,false_alarm_count_before_drift,true_detection_after_drift,max_kl,min_ks_pvalue,max_js,max_wasserstein,n_windows,n_records,constant_confidence_warning
class_prior_gradual,JS_only,50,50,1.0,20,equal_width,rolling,True,True,0,-13,13,True,6.255222,0.067795,0.185231,0.179348,39,2000,False
class_prior_gradual,Wasserstein_only,50,50,1.0,20,equal_width,rolling,True,True,0,-13,4,True,6.255222,0.067795,0.185231,0.179348,39,2000,False
class_prior_gradual,Ensemble_majority,50,50,1.0,20,equal_width,rolling,True,True,0,-13,11,True,6.255222,0.067795,0.185231,0.179348,39,2000,False
class_prior_gradual,KL_only,50,50,1.0,20,equal_width,multi_reference,True,True,0,-13,12,True,5.004375,2e-05,0.12511,0.227032,39,2000,False
class_prior_gradual,KS_only,50,50,1.0,20,equal_width,multi_reference,True,True,10,-3,1,True,5.004375,2e-05,0.12511,0.227032,39,2000,False
class_prior_gradual,KL_AND_KS,50,50,1.0,20,equal_width,multi_reference,True,True,10,-3,1,True,5.004375,2e-05,0.12511,0.227032,39,2000,False
class_prior_gradual,JS_only,50,50,1.0,20,equal_width,multi_reference,True,True,0,-13,12,True,5.004375,2e-05,0.12511,0.227032,39,2000,False
class_prior_gradual,Wasserstein_only,50,50,1.0,20,equal_width,multi_reference,True,True,0,-13,4,True,5.004375,2e-05,0.12511,0.227032,39,2000,False
class_prior_gradual,Ensemble_majority,50,50,1.0,20,equal_width,multi_reference,True,True,0,-13,12,True,5.004375,2e-05,0.12511,0.227032,39,2000,False
class_prior_gradual,KL_only,50,50,1.0,20,equal_width,adaptive_clean,True,True,0,-13,13,True,7.491234,0.000246,0.210706,0.278828,39,2000,False
class_prior_gradual,KS_only,50,50,1.0,20,equal_width,adaptive_clean,True,False,,,0,False,6.255222,0.067795,0.185231,0.179348,39,2000,False
class_prior_gradual,KL_AND_KS,50,50,1.0,20,equal_width,adaptive_clean,True,False,,,0,False,6.255222,0.067795,0.185231,0.179348,39,2000,False
class_prior_gradual,JS_only,50,50,1.0,20,equal_width,adaptive_clean,True,True,0,-13,13,True,7.491234,0.000246,0.210706,0.278828,39,2000,False
class_prior_gradual,Wasserstein_only,50,50,1.0,20,equal_width,adaptive_clean,True,True,0,-13,5,True,5.531632,0.039195,0.16621,0.171533,39,2000,False
class_prior_gradual,Ensemble_majority,50,50,1.0,20,equal_width,adaptive_clean,True,True,0,-13,13,True,7.491234,0.000246,0.210706,0.278828,39,2000,False
class_prior_gradual,KL_only,50,25,0.5,20,equal_width,fixed_first,True,True,0,-26,24,True,7.491234,0.000246,0.210706,0.33301,78,2000,False
class_prior_gradual,KS_only,50,25,0.5,20,equal_width,fixed_first,True,True,6,-20,2,True,7.491234,0.000246,0.210706,0.33301,78,2000,False
class_prior_gradual,KL_AND_KS,50,25,0.5,20,equal_width,fixed_first,True,True,6,-20,2,True,7.491234,0.000246,0.210706,0.33301,78,2000,False
class_prior_gradual,JS_only,50,25,0.5,20,equal_width,fixed_first,True,True,0,-26,25,True,7.491234,0.000246,0.210706,0.33301,78,2000,False
class_prior_gradual,Wasserstein_only,50,25,0.5,20,equal_width,fixed_first,True,True,0,-26,11,True,7.491234,0.000246,0.210706,0.33301,78,2000,False
class_prior_gradual,Ensemble_majority,50,25,0.5,20,equal_width,fixed_first,True,True,0,-26,25,True,7.491234,0.000246,0.210706,0.33301,78,2000,False
class_prior_gradual,KL_only,50,25,0.5,20,equal_width,rolling,True,True,0,-26,17,True,3.435606,0.271914,0.10724,0.146201,78,2000,False
class_prior_gradual,KS_only,50,25,0.5,20,equal_width,rolling,True,False,,,0,False,3.435606,0.271914,0.10724,0.146201,78,2000,False
class_prior_gradual,KL_AND_KS,50,25,0.5,20,equal_width,rolling,True,False,,,0,False,3.435606,0.271914,0.10724,0.146201,78,2000,False
class_prior_gradual,JS_only,50,25,0.5,20,equal_width,rolling,True,True,0,-26,21,True,3.435606,0.271914,0.10724,0.146201,78,2000,False
class_prior_gradual,Wasserstein_only,50,25,0.5,20,equal_width,rolling,True,True,0,-26,5,True,3.435606,0.271914,0.10724,0.146201,78,2000,False
class_prior_gradual,Ensemble_majority,50,25,0.5,20,equal_width,rolling,True,True,0,-26,17,True,3.435606,0.271914,0.10724,0.146201,78,2000,False
class_prior_gradual,KL_only,50,25,0.5,20,equal_width,multi_reference,True,True,0,-26,23,True,5.023209,2.4e-05,0.166397,0.267184,78,2000,False
class_prior_gradual,KS_only,50,25,0.5,20,equal_width,multi_reference,True,True,20,-6,2,True,5.023209,2.4e-05,0.166397,0.267184,78,2000,False
